bench,bsz,kv_len,device_name,cache_size,mean,median,p25,p75
Absorbed_CacheCompressed_MoveElision,32,1024,NVIDIA A100-PCIE-40GB,37748736,0.003079517133301124,0.0030797844100743533,0.0030790889827767387,0.003080212560598738
Absorbed_CacheCompressed_MoveElision,32,2048,NVIDIA A100-PCIE-40GB,75497472,0.007341988530242816,0.007341988530242816,0.007337475070380605,0.007346501990105026
Absorbed_CacheCompressed_MoveElision,32,4096,NVIDIA A100-PCIE-40GB,150994944,0.015450837769146476,0.015486305090598762,0.015417943499051033,0.015489883755799383
Absorbed_CacheCompressed_MoveElision,32,8192,NVIDIA A100-PCIE-40GB,301989888,0.029778203752357513,0.02977821925887838,0.029724962078034878,0.029831460933201014
Absorbed_CacheCompressed_MoveElision,32,16384,NVIDIA A100-PCIE-40GB,603979776,0.058936694485601036,0.058936694485601036,0.05883746203617193,0.059035926935030146
Absorbed_CacheCompressed_MoveElision,32,32768,NVIDIA A100-PCIE-40GB,1207959552,0.11883978175723718,0.11878587887622416,0.11873677093535662,0.11885947198607028
Absorbed_CacheCompressed_MoveElision,32,65536,NVIDIA A100-PCIE-40GB,2415919104,0.24012005240656437,0.23846266814507544,0.23804575111716986,0.238976975902915
CacheDecompressed,32,32,NVIDIA GeForce RTX 4080,83886080,0.0006271236620377749,0.0006271236620377749,0.0006270759755279869,0.0006271713485475629
CacheDecompressed,32,64,NVIDIA GeForce RTX 4080,167772160,0.0007572718535084277,0.0007572718535084277,0.0007571915232110768,0.0007573521838057786
CacheDecompressed,32,128,NVIDIA GeForce RTX 4080,335544320,0.0010229891049675646,0.0010221717751119285,0.0010221481201006099,0.001022476604557596
CacheDecompressed,32,256,NVIDIA GeForce RTX 4080,671088640,0.001547127944483821,0.0015464222012087703,0.0015461494459304958,0.0015467281488236039
CacheDecompressed,32,512,NVIDIA GeForce RTX 4080,1342177280,0.002595770028419793,0.0025952322501689197,0.0025951824558433146,0.0025958198227453975
CacheDecompressed,32,1024,NVIDIA GeForce RTX 4080,2684354560,0.0046773450868204235,0.004676973999012262,0.004675674389582127,0.004678830240154639
CacheDecompressed,32,2048,NVIDIA GeForce RTX 4080,5368709120,0.008842171117430552,0.008837249397765845,0.008835710975108668,0.008839134458685293
CacheDecompressed,32,4096,NVIDIA GeForce RTX 4080,10737418240,0.017479608134211354,0.01747916571330279,0.01747039112378843,0.017481741902884096
CacheCompressed,32,32,NVIDIA GeForce RTX 4080,1179648,0.0012316989686547057,0.0012276674015447497,0.001227533530909568,0.0012279583886265755
CacheCompressed,32,64,NVIDIA GeForce RTX 4080,2359296,0.002024906710255891,0.0020243040518835185,0.002023931338917464,0.0020243182918056844
CacheCompressed,32,128,NVIDIA GeForce RTX 4080,4718592,0.0035577583491491773,0.003558224767912179,0.003557288048323244,0.0035584618593566117
CacheCompressed,32,256,NVIDIA GeForce RTX 4080,9437184,0.0065386400744318965,0.0065386400744318965,0.006537814241601154,0.006539465907262638
CacheCompressed,32,512,NVIDIA GeForce RTX 4080,18874368,0.012642446512472816,0.01258920730324462,0.012582434085197746,0.01259677458438091
CacheCompressed,32,1024,NVIDIA GeForce RTX 4080,37748736,0.024516739761456848,0.024512507696636023,0.024511624220758678,0.0245239423122257
CacheCompressed,32,2048,NVIDIA GeForce RTX 4080,75497472,0.048524298200694226,0.04853612999431789,0.04851686265319586,0.04853764964500442
Absorbed,32,32,NVIDIA GeForce RTX 4080,0,0.0013649574135357735,0.0013458027970045805,0.0013438570313155651,0.0013492940925061703
Absorbed,32,64,NVIDIA GeForce RTX 4080,0,0.002000134892296046,0.0019710215274244547,0.0019680699333548546,0.00198180228471756
Absorbed,32,128,NVIDIA GeForce RTX 4080,0,0.003017411604439503,0.0029936585342511535,0.0029895968618802726,0.00306967762298882
Absorbed,32,256,NVIDIA GeForce RTX 4080,0,0.005360919404476084,0.0053381528705358505,0.00533333804924041,0.005362108116969466
Absorbed,32,512,NVIDIA GeForce RTX 4080,0,0.009716888482781868,0.009694319916889071,0.009690530598163605,0.009703218471258879
Absorbed,32,1024,NVIDIA GeForce RTX 4080,0,0.019004616776551558,0.01897069113329053,0.01896188803948462,0.018982751993462443
Absorbed,32,2048,NVIDIA GeForce RTX 4080,0,0.03737245019766743,0.03726853895932436,0.037235541618429124,0.03731487994082272
Absorbed_CacheCompressed,32,32,NVIDIA GeForce RTX 4080,1179648,0.001132816324631373,0.0011297132400795817,0.0011295467987656592,0.001131871440447867
